Title,AirDate,Rating,Num_Votes,Season,Episode,Description
The One Where Old Yeller Dies,4 Apr. 1996,8.0,4779,2,20,Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.
The One with the Bullies,25 Apr. 1996,8.0,4831,2,21,Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.
The One with the Two Parties,2 May 1996,8.9,6002,2,22,"Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting."
The One with the Chicken Pox,9 May 1996,7.9,4853,2,23,Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.
The One with Barry and Mindy's Wedding,16 May 1996,8.1,4870,2,24,Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.
The One with the Princess Leia Fantasy,19 Sep. 1996,8.3,5028,3,1,Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.
The One Where No One's Ready,26 Sep. 1996,8.9,6732,3,2,"A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum, while Joey and Chandler clash over personal belongings and personal space."
The One with the Jam,3 Oct. 1996,7.9,4791,3,3,Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.
The One with the Metaphorical Tunnel,10 Oct. 1996,7.9,4612,3,4,Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.
The One with Frank Jr.,17 Oct. 1996,8.0,4723,3,5,Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.
The One with the Flashback,31 Oct. 1996,9.0,6164,3,6,"The gang remember the events three years ago, when several of them almost slept together."
The One with the Race Car Bed,7 Nov. 1996,8.2,4666,3,7,Monica buys a bed from Janice's soon to be ex husband. Ross and Rachel have dinner with Rachel's father. Joey leads an acting class.
The One with the Giant Poking Device,14 Nov. 1996,8.2,4683,3,8,Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.
The One with the Football,21 Nov. 1996,8.9,6460,3,9,"Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of ""touch"" football."
The One Where Rachel Quits,12 Dec. 1996,8.0,4694,3,10,Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.
